SampleID,SampleType,Study,A.clavatus,A.fumigatus,A.glaucus,A.heteromorphus,A.mulundensis,A.niger,A.novofumigatus,A.steynii,A.nidulans,A.terreus,A.pseudoglaucus,A.aculeatinus,A.awamori,A.welwitschiae,Aureobasidium.pullulans,Cercospora.beticola,Zasmidium.cellare,Acidomyces.richmondensis,Coniosporium.apollinis,Dothidotthia.symphoricarpi,Parastagonospora.nodorum,Pyrenophora.teres,Pyrenophora.tritici.repentis,Exophiala.xenobiotica,Penicillium.arizonense,Penicillium.digitatum,Byssochlamys.spectabilis,Talaromyces.pinophilus,Hyaloscypha.bicolor,Botrytis.cinerea,Candida.parapsilosis,Clavispora.lusitaniae,Kluyveromyces.marxianus,Trichoderma.asperellum,Trichoderma.atroviride,Phaeoacremonium.minimum,Taphrina.deformans,Agaricus.bisporus,Hebeloma.cylindrosporum,Tricholomella.constricta,Armillaria.ostoyae,Pleurotus.ostreatus,Schizophyllum.commune,Paxillus.involutus,Serpula.lacrymans,Gloeophyllum.trabeum,Neolentinus.lepideus,Postia.placenta,Grifola.frondosa,Phlebia.radiata,Fibroporia.radiculosa,Polyporus.grammocephalus,Trametes.hirsuta,Trametes.versicolor,Heterobasidion.irregulare,Stereum.hirsutum,Tilletiopsis.washingtonensis,Acaromyces.ingoldii,Pseudomicrostroma.glucosiphilum,Malassezia.globosa,Malassezia.restricta,Malassezia.sympodialis,Puccinia.triticina,Wallemia.mellicola,Rhizophagus.irregularis,Aureobasidium.namibiae,Candida.dubliniensis,Candida.orthopsilosis,Millerozyma.farinosa,Spathaspora.passalidarum,Cyberlindnera.jadinii,Dichomitus.squalens,Meira.miltonrushii,Coprinopsis.cinerea,Ganoderma.boninense,Kockovaella.imperatae,Lasiodiplodia.theobromae,Wolfiporia.cocos,Corynespora.cassiicola,Bipolaris.maydis,Bipolaris.oryzae,Bipolaris.sorokiniana,Penicillium.oxalicum,Pestalotiopsis.fici,Trichosporon.asahii,Pseudozyma.hubeiensis
HMSP1117,Indoor air,Singapore,0,0.1716574,0.2860957,0,0,0,0,0.3051688,0.2670227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00954,0,0,0,0.0381461,0,0,1.1920656,0,0,0,0,1.9931337,0,2.2696929,0,0,4.615678,6.5706656,0,0,0,0,5.8744993,0,0,0,0,0,0.4863628,3.1947358,0.4386801,0,0.1335113,0,0,0,0,0,0,0,61.5296586,0,4.6252146,5.9126454,0.0858287,0,0,0,0,0,0,0,0,0,0
HMSP1118,Outdoor air,Singapore,0,0.178763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1798355,0,0,0,0,1.93064,0,1.8948874,0,0,4.6031462,5.9885592,0,0,0,0,5.2109403,0,0,0,0,0,0.3575259,2.7529496,0,0,0.2860207,0,0,0,0.00894,0,0,0,55.7204147,0,5.1036825,5.255631,0,0.178763,9.3493028,0,0,0,0,0,0,0,0
HMSP1171,Indoor air,Singapore,0,0.3894472,2.7763819,0,0,0,0,1.3190955,0.3643216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1005025,0,0,0,0.1633166,0,0,1.7839196,0,0,0,0,42.4874372,0,2.8517588,0,0,3.8819095,6.4572864,0,0,0,0,3.3542714,0,0,0,0,0,0.7160804,3.3417085,0.540201,0,0.1633166,0,0,0,0,0,0,0,23.0527638,0,1.6959799,3.0653266,1.4949749,0,0,0,0,0,0,0,0,0,0
HMSP1172,Outdoor air,Singapore,0,0.1280592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9778031,0,0,0,0,45.3898691,0,3.2299374,0,0,4.6101309,6.801366,0,0,0,0,3.7990894,0,0,0,0,0,0.2276608,0.7398976,0,0,0.213432,0,0,0,0.0426864,0,0,0,23.7763233,0,1.6363119,3.1018782,0,0.3841776,3.9413773,0,0,0,0,0,0,0,0
HMSP1173,Surfaces,Singapore,1.039783,0.5877034,3.5262206,0.6781193,0,0.5877034,0,2.034358,1.1754069,0,0.7685353,0.3164557,0.1808318,0.0904159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7631103,0,0,0,0,0,0,0,0,0,0,0,11.1663653,0,0,0,0,1.3562387,1.7179024,0,0,0,0,1.3110307,0,0,0,0.7685353,1.039783,5.5605787,22.965642,3.3001808,0,0,0,0,0,0.4520796,0,0,0,9.9005425,0,2.9837251,1.8535262,0,2.6220615,1.1301989,3.5714286,1.8083183,1.039783,1.9439421,1.2658228,8.1826401,0.7685353,0.5424955
HMSP1181,Indoor air,Singapore,0,0.2160904,0.1496011,0,0,0,0,0.1496011,0.2327128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332447,0,0,0,0.049867,0,0,3.3743351,0,0,0,0,38.1150266,0,4.1888298,0,0,6.6988032,8.1948138,0,0,0,0,4.5046543,0,0,0,0,0,0.4820479,0.6482713,0.8144947,0,0.2327128,0,0,0,0,0,0,0,20.8111702,0,6.0172872,4.6542553,0.4321809,0,0,0,0,0,0,0,0,0,0
HMSP1182,Outdoor air,Singapore,0,0.1181634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1060095,0,0,0,0,37.4746793,0,4.1019581,0,0,5.8575287,8.7947333,0,0,0,0,4.2876435,0,0,0,0,0,0.5401756,1.0297097,0,0,0.3713707,0,0,0,0.0168805,0,0,0,20.6617151,0,5.452397,3.5955436,0,0.4220122,4.1694801,0,0,0,0,0,0,0,0
HMSP1196,Indoor air,Singapore,0,0.1214575,0.2699055,0,0,0,0,0.3373819,0.1079622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134953,0,0,0,0.148448,0,0,2.4966262,0,0,0,0,49.4601889,0,3.7246964,0,0,6.5182186,8.5155196,0,0,0,0,4.0890688,0,0,0,0,0,0.2024291,0.634278,0.2699055,0,0.2564103,0,0,0,0,0,0,0,15.3441296,0,2.8205128,3.3873144,1.2820513,0,0,0,0,0,0,0,0,0,0
HMSP1197,Outdoor air,Singapore,0,0.0258331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2991475,0,0,0,0,47.7783518,0,3.8103849,0,0,5.8770344,8.0340997,0,0,0,0,3.9266339,0,0,0,0,0,0.1033325,0.1937484,0,0,0.1808318,0,0,0,0,0,0,0,15.9132007,0,3.8103849,4.1203823,0,0.1937484,3.7328856,0,0,0,0,0,0,0,0
HMSP1198,Surfaces,Singapore,3.2887402,0.8361204,15.2173913,1.9509476,0,1.1148272,0,5.4069119,2.006689,0,1.393534,0.1114827,0.1672241,0.0557414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2530658,0,0,0,0,1.6722408,2.5641026,0,0,0,0,1.3377926,0,0,0,0.2787068,1.1148272,8.9186176,20.9587514,3.3444816,0,0,0,0,0,0.6688963,0,0,0,4.5150502,0,5.0724638,2.4526198,0,0.8918618,0.6688963,1.7837235,0.0557414,0.5016722,0.3344482,0.7246377,1.2263099,0.0557414,0.0557414
HMSP1201,Indoor air,Singapore,0,0.135158,0.3210002,0,0,0,0,0.2365264,0.135158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2703159,0,0,0,0.2196317,0,0,3.6661598,0,0,0,0,9.4948471,0,4.8318973,0,0,6.3524244,8.1432674,0,0,0,0,5.1360027,0,0,0,0,0,1.0474742,2.7200541,5.0008447,0,0.3885792,0,0,0,0,0,0,0,43.520865,0,2.3821591,5.7442135,0.2534212,0,0,0,0,0,0,0,0,0,0
HMSP1202,Outdoor air,Singapore,0,0.1026167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3441081,0,0,0,0,10.398495,0,4.8400889,0,0,6.4135454,9.1499914,0,0,0,0,5.0282196,0,0,0,0,0,1.693176,3.0100906,0,0,0.4104669,0,0,0,0.0684112,0,0,0,40.8927655,0,2.9587823,5.9688729,0,0.239439,4.4809304,0,0,0,0,0,0,0,0
HMSP1203,Surfaces,Singapore,0.123885,0.4707631,0.4707631,0.3221011,0,0.4955401,0,0.3716551,0.2477701,0,0.123885,0.3221011,0.2229931,0.2477701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4212091,0,0,0,0,0,0,0,0,0,0,0,34.0931615,0,0,0,0,3.9643211,4.7571853,0,0,0,0,2.7750248,0,0,0,0.2725471,0.8671952,2.6759167,7.8295342,5.2031715,0,0,0,0,0,0.3221011,0,0,0,14.271556,0,4.1377602,3.444004,0,0.7928642,2.3538157,2.0317146,0.4212091,0.4955401,0.5698712,0.6937562,3.518335,0.3964321,0.2725471
HMSP1211,Indoor air,Singapore,0,0.4267425,0.56899,0,0,0,0,0,0.1422475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284495,0,0,0,0.4267425,0,0,0.8534851,0,0,0,0,0.9957326,0,0.4267425,0,0,0.284495,1.7069701,0,0,0,0,2.5604552,0,0,0,0,0,23.8975818,61.8776671,1.7069701,0,1.1379801,0,0,0,0,0,0,0,1.9914651,0,0,0.284495,0.4267425,0,0,0,0,0,0,0,0,0,0
HMSP1212,Outdoor air,Singapore,0,0.4208754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5589226,0,0,0,0,21.1784512,0,5.1851852,0,0,6.6329966,8.4680135,0,0,0,0,6.5488215,0,0,0,0,0,0.4040404,2.2558923,0,0,0.1010101,0,0,0,0,0,0,0,32.0875421,0,3.3164983,5.8585859,0,0.2861953,4.6969697,0,0,0,0,0,0,0,0
HMSP1213,Surfaces,Singapore,1.2716175,0.5425568,5.5442523,0.8986097,0,0.4916921,0,2.3906409,0.6951509,0,1.0512038,0.0508647,0.1017294,0.1525941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1017294,0,0,0,0,0,0,0,0,0,0,0,13.6147847,0,0,0,0,3.8657172,6.3072228,0,0,0,0,3.3401153,0,0,0,0.5764666,0.8816548,3.8487623,19.3964056,3.051882,0,0,0,0,0,0.0339098,0,0,0,16.8023059,0,4.1030858,3.3062055,0,0.3560529,2.6619193,0.9155646,0.1186843,0.0678196,0.2034588,0.6103764,2.2380468,0.169549,0.2373686
HMSP1216,Indoor air,Singapore,0,0.0969932,0.756547,0,0,0,0,0.5237633,0.2521823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581959,0,0,0,0.1163919,0,0,4.1901067,0,0,0,0,3.2395732,0,11.9689622,0,0,8.399612,13.1522793,0,0,0,0,6.3821532,0,0,0,0,0,0.2133851,1.1057226,0.4267701,0,0.2521823,0,0,0,0,0,0,0,37.8467507,0,3.6275461,6.5955383,0.7953443,0,0,0,0,0,0,0,0,0,0
HMSP1217,Outdoor air,Singapore,0,0.1513145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.104407,0,0,0,0,3.5558918,0,14.14791,0,0,6.3173823,10.1948175,0,0,0,0,6.6956686,0,0,0,0,0,0.1891432,1.1159448,0,0,0.1891432,0,0,0,0.0378286,0,0,0,37.336864,0,3.4991489,7.4144127,0,0.1891432,4.8609798,0,0,0,0,0,0,0,0
HMSP1226,Indoor air,Singapore,0,0.2683843,2.7777778,0,0,0,0,1.4090177,0.4562534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805153,0,0,0,0.0268384,0,0,1.180891,0,0,0,0,21.9135802,0,2.0799785,0,0,3.972088,4.7369834,0,0,0,0,3.9184112,0,0,0,0,0,5.2871712,18.6392915,8.185722,0,0.1207729,0,0,0,0,0,0,0,19.3907676,0,1.4224369,3.0595813,0.3488996,0,0,0,0,0,0,0,0,0,0
HMSP1227,Outdoor air,Singapore,0,0.2332602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5230516,0,0,0,0,26.5642151,0,2.6756312,0,0,4.6377607,7.1350165,0,0,0,0,4.9121844,0,0,0,0,0,2.3874863,5.2277717,0,0,0.3018661,0,0,0,0.1234907,0,0,0,30.6119649,0,1.9346872,5.32382,0,0.1783754,6.2294182,0,0,0,0,0,0,0,0
HMSP1228,Surfaces,Singapore,0.9633911,0.4816956,2.6974952,0.9152216,0,0.5780347,0,1.5895954,0.4816956,0,0.6743738,0.1926782,0.0963391,0.0963391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4450867,0,0,0,0,0,0,0,0,0,0,0,9.2967245,0,0,0,0,2.6974952,3.9017341,0,0,0,0,2.6011561,0,0,0,0.6743738,1.5895954,7.3699422,22.7842004,7.9961464,0,0,0,0,0,0.3853565,0,0,0,14.5953757,0,1.7822736,3.3236994,0,0.867052,2.0231214,1.3969171,0.433526,0.2408478,0.6262042,1.2042389,3.1310212,0.5298651,0.3371869
HMSP1276,Indoor air,Singapore,0,0.0316106,0,0,0,0,0,0.1422475,0.0790264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632211,0,0,0,0.0948317,0,0,2.9555872,0,0,0,0,22.66477,0,4.6941679,0,0,6.5433855,9.7676624,0,0,0,0,5.721511,0,0,0,0,0,0.0790264,0.0316106,0.110637,0,0.0632211,0,0,0,0,0,0,0,39.9399399,0,2.5446499,4.1567884,0.3161056,0,0,0,0,0,0,0,0,0,0
HMSP1277,Outdoor air,Singapore,0,0.0425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4468085,0,0,0,0,21.5602837,0,3.6312057,0,0,7.5460993,8.3404255,0,0,0,0,4.8510638,0,0,0,0,0,0.1276596,0.0425532,0,0,0.1985816,0,0,0,0.0141844,0,0,0,39.8297872,0,2.3404255,3.8014184,0,0.1843972,4.0425532,0,0,0,0,0,0,0,0
HMSP1278,Surfaces,Singapore,0.5593804,1.1187608,0.4733219,1.0327022,0,0.3012048,0,4.1738382,1.1187608,0,0.0860585,0.2151463,0.0860585,0.172117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7022375,0,0,0,0,5.2065404,5.2065404,0,0,0,0,3.2702238,0,0,0,0.3442341,0.4733219,1.16179,5.3356282,0.7314974,0,0,0,0,0,0.0430293,0,0,0,39.8881239,0,1.8932874,4.6901893,0,1.2478485,3.0550775,2.1944923,0.7314974,0.4302926,0.4733219,0.7745267,5.1635112,0.5163511,0.1290878
HMSP1346,Indoor air,Singapore,0,0.1031637,0.6361761,0,0,0,0,0.3954608,0.1547455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687758,0,0,0,0.0859697,0,0,3.2152682,0,0,0,0,3.3528198,0,5.0722146,0,0,9.1815681,13.5832187,0,0,0,0,7.5309491,0,0,0,0,0,1.4958735,2.4759285,0.3094911,0,0.1719395,0,0,0,0,0,0,0,42.8129298,0,2.8370014,6.1726272,0.343879,0,0,0,0,0,0,0,0,0,0
HMSP1347,Outdoor air,Singapore,0,0.0147124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0454612,0,0,0,0,3.1043107,0,4.8845079,0,0,7.8269825,11.8728851,0,0,0,0,7.5033103,0,0,0,0,0,0.0735619,0.0588495,0,0,0.0735619,0,0,0,0.0147124,0,0,0,42.1950861,0,2.8542004,7.4738855,0,0.1029866,8.9009857,0,0,0,0,0,0,0,0
HMSP1348,Surfaces,Singapore,0.3079807,0.2544189,1.0042849,0.57579,0,0.0669523,0,1.0846277,0.401714,0,0.1606856,0.0937333,0.0133905,0.0133905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133905,0,0,0,0,0,0,0,0,0,0,0,0.9641136,0,0,0,0,0.6293519,0.8703803,0,0,0,0,0.3615426,0,0,0,71.2506695,8.7841457,1.5666845,1.9282271,1.0310659,0,0,0,0,0,0,0,0,0,2.6513123,0,0.4284949,0.5623996,0,0.9239422,0.2945903,0.9373326,0.1205142,0.1472951,0.1205142,0.2410284,0.3347616,0.3079807,1.5532941
